kevin109  KevinTran	 202209280944   14.191.238.68 : 20981	 Da Rut THanh Cong 20
thevanvt113  ADminŸH∂iß—pTrai	 202209300924   42.115.21.51 : 22465	 Da Rut THanh Cong 10
nhd001  KINGŸ17	 202210021013   1.54.212.72 : 192.168.1.8	 Da Rut THanh Cong 200
nhd001  KINGŸ17	 202210021015   1.54.212.72 : 192.168.1.8	 Da Rut THanh Cong 200
nhd001  KINGŸ17	 202210021033   1.54.212.72 : 192.168.1.8	 Da Rut THanh Cong 200
nhd001  KINGŸ17	 202210021038   1.54.212.72 : 192.168.1.8	 Da Rut THanh Cong 200
nhd001  KINGŸ17	 202210021038   1.54.212.72 : 192.168.1.8	 Da Rut THanh Cong 200
thanhtruong2022  ZuNest	 202210021116   153.165.114.138 : 192.168.10.104	 Da Rut THanh Cong 200
thanhtruong2022  ZuNest	 202210021117   153.165.114.138 : 192.168.10.104	 Da Rut THanh Cong 200
thanhtruong2022  ZuNest	 202210021124   153.165.114.138 : 192.168.10.104	 Da Rut THanh Cong 100
00caytien  NSNDŸDMPD	 202210021129   255.255.255.255 : 192.168.1.32	 Da Rut THanh Cong 200
00caytien  NSNDŸDMPD	 202210021131   255.255.255.255 : 192.168.1.32	 Da Rut THanh Cong 200
00caytien  NSNDŸDMPD	 202210021131   255.255.255.255 : 192.168.1.32	 Da Rut THanh Cong 99
vanngoc101  AnhŸB«u	 202210021150   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021150   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021150   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 100
vanngoc101  AnhŸB«u	 202210021539   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021539   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021539   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021539   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021539   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021544   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021544   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021544   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021557   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021557   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021557   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021557   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
vanngoc101  AnhŸB«u	 202210021557   116.98.226.34 : 192.168.1.3	 Da Rut THanh Cong 200
thanhtruong2022  Tr≠¨ngŸTamŸPhong	 202210021651   153.165.114.138 : 192.168.10.104	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210021908   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 100
lethanhson1993  70ŸPinŸNguy‘n	 202210021910   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210021910   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210021914   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210021956   27.78.44.135 : 192.168.1.6	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210022022   27.78.44.135 : 192.168.1.6	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210022026   27.78.44.135 : 192.168.1.6	 Da Rut THanh Cong 200
lethanhson1993  70ŸPinŸNguy‘n	 202210022028   27.78.44.135 : 192.168.1.6	 Da Rut THanh Cong 200
thanhtruong2022  Tr≠¨ngŸTamŸPhong	 202210022039   153.165.114.138 : 192.168.10.104	 Da Rut THanh Cong 200
thanhtruong2022  Tr≠¨ngŸTamŸPhong	 202210022039   153.165.114.138 : 192.168.10.104	 Da Rut THanh Cong 200
thanhtruong2022  Tr≠¨ngŸTamŸPhong	 202210022040   153.165.114.138 : 192.168.10.104	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022213   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022213   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022213   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022213   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022213   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022215   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022215   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022215   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022226   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022226   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022230   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 2
thevanvt114  Administrator	 202210022230   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022230   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022230   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022230   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022230   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
thevanvt114  Administrator	 202210022230   42.119.150.194 : 192.168.1.9	 Da Rut THanh Cong 200
