tªn thuéc tÝnh	Cã Ph¶I Lµ TiÒn Tè Hay Kh«ng	 Ngò  Hµnh Yªu Cçu 	Yªu Cçu CÊp §é	ID Thuéc TÝnh 	Tham Sè 1 Tèi ThiÓu	Tham Sè 1 Tèi ®a	Tham Sè 2 Tèi ThiÓu	Tham Sè 2 Tèi ®a	Tham Sè 3 Tèi thiÓu	Tham Sè 3 tèi ®a	HiÖu Qu¶ ThuyÕt Minh
Sinh Lùc				85	-25	25	-1	-1	0	0	0
Sinh Lùc				85	60	100	-1	-1	0	0	0
Sinh Lùc				85	80	120	-1	-1	0	0	0
Sinh Lùc				85	150	200	-1	-1	0	0	0
Néi  Lùc				89	-25	25	-1	-1	0	0	0
Néi  Lùc				89	60	100	-1	-1	0	0	0
Néi  Lùc				89	80	120	-1	-1	0	0	0
Néi  Lùc				89	150	200	-1	-1	0	0	0
ThÓ  Lùc				93	-25	25	-1	-1	0	0	0
ThÓ  Lùc				93	60	100	-1	-1	0	0	0
ThÓ  Lùc				93	80	120	-1	-1	0	0	0
ThÓ  Lùc				93	150	200	-1	-1	0	0	0
Phôc Håi Néi Lùc				92	-1	1	-1	-1	0	0	0
Phôc Håi Néi Lùc				92	2	3	-1	-1	0	0	0
Phôc Håi Néi Lùc				92	3	4	-1	-1	0	0	0
Phôc Håi Néi Lùc				92	5	6	-1	-1	0	0	0
Håi Phôc Sinh Lùc				88	-1	1	-1	-1	0	0	0
Håi Phôc Sinh Lùc				88	2	3	-1	-1	0	0	0
Håi Phôc Sinh Lùc				88	3	4	-1	-1	0	0	0
Håi Phôc Sinh Lùc				88	5	6	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	-1	1	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	2	3	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	3	4	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	5	6	-1	-1	0	0	0
Gi¶m §I  THêi GIan Tróng §éc				108	-5	5	-1	-1	0	0	0
Gi¶m §I  THêi GIan Tróng §éc				108	13	20	-1	-1	0	0	0
Gi¶m §I  THêi GIan Tróng §éc				108	18	25	-1	-1	0	0	0
Gi¶m §I  THêi GIan Tróng §éc				108	30	40	-1	-1	0	0	0
Gi¶m §I THêi Gian Cho¸ng				110	-5	5	-1	-1	0	0	0
Gi¶m §I THêi Gian Cho¸ng				110	13	20	-1	-1	0	0	0
Gi¶m §I THêi Gian Cho¸ng				110	20	25	-1	-1	0	0	0
Gi¶m §I THêi Gian Cho¸ng				110	30	40	-1	-1	0	0	0
Gi¶m Thêi Gian lµm chËm %				106	-5	5	-1	-1	0	0	0
Gi¶m Thêi Gian lµm chËm %				106	13	20	-1	-1	0	0	0
Gi¶m Thêi Gian lµm chËm %				106	18	25	-1	-1	0	0	0
Gi¶m Thêi Gian lµm chËm %				106	30	40	-1	-1	0	0	0
Thêi  Gian Phôc Håi(HiÖn) 				113	10	15	-1	-1	0	0	0
Thêi  Gian Phôc Håi(HiÖn) 				113	13	20	-1	-1	0	0	0
Thêi  Gian Phôc Håi(HiÖn) 				113	18	25	-1	-1	0	0	0
Thêi  Gian Phôc Håi(HiÖn) 				113	20	30	-1	-1	0	0	0
tèc ®é ®¸nh ngo¹i c«ng				115	5	10	-1	-1	0	0	0
tèc ®é ®¸nh ngo¹i c«ng				115	10	20	-1	-1	0	0	0
tèc ®é ®¸nh ngo¹i c«ng				115	13	40	-1	-1	0	0	0
