DES_GOLDNAME	DES_GENRE	DES_DETAILTYPE	MAR_FIRST_DETAIL	MAR_COUNT	DES_BADVALUES	DES_STANDARDVALUES
Méng Long ChÝnh Hång T¨ng M·o	0	1	998	6	1500000000	2100000000
Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	789	6	1500000000	2100000000
Méng Long HuyÒn Ti Ph¸t ®¸i	0	3	1122	6	1500000000	2100000000
Phôc Ma Tö Kim C«n	0	6	576	9	1500000000	2100000000
Phôc Ma ¤ Kim NhuyÔn §iÒu	0	8	1128	6	1500000000	2100000000
Phôc Ma Phæ §é T¨ng hµi	0	10	1019	6	1500000000	2100000000
Tø Kh«ng Gi¸ng Ma Giíi ®ao	0	11	585	9	1500000000	2100000000
Tø Kh«ng Hé ph¸p Yªu ®¸i	0	13	1134	6	1500000000	2100000000
Tø Kh«ng NhuyÔn B× Hé UyÓn	0	14	1025	6	1500000000	2100000000
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	16	594	9	1500000000	2100000000
H¸m Thiªn Uy Vò Thóc yªu ®¸i	0	18	1140	6	1500000000	2100000000
H¸m Thiªn Thõa Long ChiÕn Ngoa	0	20	1031	6	1500000000	2100000000
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	0	21	603	9	1500000000	2100000000
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	22	795	6	1500000000	2100000000
KÕ NghiÖp B¹ch Hæ V« Song khÊu	0	23	1146	6	1500000000	2100000000
Ngù Long L­îng Ng©n B¶o ®ao	0	26	612	9	1500000000	2100000000
Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	0	27	1037	6	1500000000	2100000000
Ngù Long Thiªn M«n Thóc Yªu hoµn	0	28	1152	6	1500000000	2100000000
V« Gian û Thiªn KiÕm	0	31	621	9	1500000000	2100000000
V« Gian PhÊt V©n Ti ®¸i	0	33	1158	6	1500000000	2100000000
V« Gian CÇm VËn Hé UyÓn	0	34	1043	6	1500000000	2100000000
