XPOS	YPOS
1534	3222
1534	3222
1537	3227
1537	3227
1540	3217
1540	3217
1542	3222
1542	3222
1543	3234
1543	3234
1546	3211
1546	3211
1548	3216
1548	3229
1548	3240
1548	3216
1548	3229
1548	3240
1551	3206
1551	3206
1553	3235
1553	3247
1553	3235
1553	3247
1554	3210
1554	3223
1554	3210
1554	3223
1556	3201
1556	3201
1558	3241
1558	3241
1559	3205
1559	3230
1559	3255
1559	3205
1559	3230
1559	3255
1560	3217
1560	3217
1562	3195
1562	3195
1563	3249
1563	3249
1564	3236
1564	3236
1565	3198
1565	3212
1565	3224
1565	3198
1565	3212
1565	3224
1567	3190
1567	3190
1569	3244
1569	3244
1570	3219
1570	3230
1570	3255
1570	3219
1570	3230
1570	3255
1571	3194
1571	3206
1571	3194
1571	3206
1573	3249
1573	3249
1575	3225
1575	3239
1575	3225
1575	3239
1576	3201
1576	3214
1576	3201
1576	3214
1578	3244
1578	3244
1580	3221
1580	3234
1580	3221
1580	3234
1581	3209
1581	3209
1583	3239
1583	3239
1585	3216
1585	3228
1585	3216
1585	3228
1588	3234
1588	3234
1590	3223
1590	3223
1597	3223
1597	3223
