等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验	6转附加经验	7转附加经验
1	100								
2	500								
3	1100								
4	1900								
5	2900								
6	4100								
7	5500								
8	7100								
9	8900								
10	10900								
11	13100								
12	15700								
13	18700								
14	22100								
15	25900								
16	30100								
17	34700								
18	39700								
19	45100								
20	50900								
21	57100								
22	63900								
23	71300								
24	79300								
25	87900								
26	97100								
27	106900								
28	117300								
29	128300								
30	139900								
31	152100								
32	165400								
33	179800								
34	195300								
35	211900								
36	229600								
37	248400								
38	268300								
39	289300								
40	311400								
41	334600								
42	360400								
43	388800								
44	419800								
45	453400								
46	489600								
47	528400								
48	569800								
49	613800								
50	660400								
51	709600								
52	766000								
53	829600								
54	900400								
55	978400								
56	1063600								
57	1156000								
58	1255600								
59	1362400								
60	1476400								
61	1597600								
62	1738200								
63	1898200								
64	2077600								
65	2276400								
66	2494600								
67	2732200								
68	2989200								
69	3265600								
70	3561400								
71	3876600								
72	4240200								
73	4652200								
74	5112600								
75	5621400								
76	6178600								
77	6784200								
78	7438200								
79	8140600								
80	33336000								
81	38336000								
82	43336000								
83	48336000								
84	53336000								
85	58336000								
86	63336000								
87	68336000								
88	73336000								
89	78336000								
90	83079000					0			
91	98079000								
92	113079000								
93	128079000								
94	143079000								
95	158079000								
96	173079000								
97	188079000								
98	203079000								
99	218079000								
100	233079000								
101	283079000								15000
102	333079000								15000
103	383079000								15000
104	433079000								15000
105	483079000								15000
106	533079000								15000
107	583079000								15000
108	633079000								15000
109	683079000								15000
110	733079000								15000
111	833079000								34000
112	933079000								34000
113	1033079000								34000
114	1133079000								34000
115	1233079000								34000
116	1333079000								34000
117	1433079000								34000
118	1533079000								34000
119	1633079000								34000
120	1733079000								34000
121	1853079000								50000
122	1973079000								50000
123	2000000000								50000
124	2000000000								50000
125	2000000000								50000
126	2000000000								68000
127	2000000000								68000
128	2000000000								68000
129	2000000000								68000
130	2000000000		16000	48000	64000	0	0	0	68000
131	2000000000		16000	48000	64000	144000	144000	144000	224000
132	2000000000		16000	48000	64000	144000	144000	144000	224000
133	2000000000		16000	48000	64000	144000	144000	144000	224000
134	2000000000		16000	48000	64000	144000	144000	144000	224000
135	2000000000		20000	60000	80000	140000	140000	140000	220000
136	2000000000		20000	60000	80000	180000	180000	180000	280000
137	2000000000		20000	60000	80000	180000	180000	180000	280000
138	2000000000		20000	60000	80000	180000	180000	180000	280000
139	2000000000		20000	60000	80000	180000	180000	180000	280000
140	2000000000		30000	90000	120000	170000	170000	170000	270000
141	2000000000		30000	90000	120000	270000	270000	270000	395000
142	2000000000		30000	90000	120000	270000	270000	270000	395000
143	2000000000		30000	90000	120000	270000	270000	270000	395000
144	2000000000		30000	90000	120000	270000	270000	270000	395000
145	2000000000		50000	150000	200000	250000	250000	250000	375000
146	2000000000		50000	150000	200000	450000	450000	450000	625000
147	2000000000		50000	150000	200000	450000	450000	450000	625000
148	2000000000		50000	150000	200000	450000	450000	450000	625000
149	2000000000		50000	150000	200000	450000	450000	450000	625000
150	2000000000		80000	240000	320000	420000	420000	420000	595000
151	2000000000		80000	240000	320000	720000	720000	720000	945000
152	2000000000		80000	240000	320000	720000	720000	720000	945000
153	2000000000		80000	240000	320000	720000	720000	720000	945000
154	2000000000		80000	240000	320000	720000	720000	720000	945000
155	2000000000		120000	360000	480000	680000	680000	680000	905000
156	2000000000		120000	360000	480000	1080000	1080000	1080000	1355000
157	2000000000		120000	360000	480000	1080000	1080000	1080000	1355000
158	2000000000		120000	360000	480000	1080000	1080000	1080000	1355000
159	2000000000		120000	360000	480000	1080000	1080000	1080000	1355000
160	2000000000		180000	540000	720000	1020000	1020000	1020000	1295000
161	2000000000		180000	540000	720000	1620000	1620000	1620000	1940000
162	2000000000		180000	540000	720000	1620000	1620000	1620000	1940000
163	2000000000		180000	540000	720000	1620000	1620000	1620000	1940000
164	2000000000		180000	540000	720000	1620000	1620000	1620000	1940000
165	2000000000		200000	600000	800000	1600000	1600000	1600000	1940000
166	2000000000		200000	600000	800000	1800000	1800000	1800000	2980000
167	2000000000		200000	600000	800000	1800000	1800000	1800000	2980000
168	2000000000		200000	600000	800000	1800000	1800000	1800000	2980000
169	2000000000		200000	600000	800000	1800000	2800000	2800000	3980000
170	2000000000		200000	600000	800000	1800000	2800000	2800000	3980000
171	2000000000		200000	600000	800000	1800000	2800000	2800000	4980000
172	2000000000		200000	600000	800000	1800000	2800000	2800000	4980000
173	2000000000		200000	600000	800000	1800000	2800000	2800000	4980000
174	2000000000		200000	600000	800000	1800000	2800000	2800000	4980000
175	2000000000		200000	600000	800000	1800000	2800000	2800000	4980000
176	2000000000		200000	600000	800000	1800000	2800000	2800000	6200000
177	2000000000		200000	600000	800000	1800000	2800000	2800000	6200000
178	2000000000		200000	600000	800000	1800000	2800000	2800000	6200000
179	2000000000		200000	600000	800000	1800000	2800000	2800000	6200000
180	2000000000		200000	600000	800000	1800000	2800000	2800000	6200000
181	2000000000		200000	600000	800000	1800000	2800000	2800000	8200000
182	2000000000		200000	600000	800000	1800000	2800000	2800000	8200000
183	2000000000		200000	600000	800000	1800000	2800000	2800000	8200000
184	2000000000		200000	600000	800000	1800000	2800000	2800000	8200000
185	2000000000		200000	600000	800000	1800000	2800000	2800000	8200000
186	2000000000		200000	600000	800000	1800000	2800000	2800000	10200000
187	2000000000		200000	600000	800000	1800000	2800000	2800000	10200000
188	2000000000		200000	600000	800000	1800000	2800000	2800000	10200000
189	2000000000		200000	600000	800000	1800000	2800000	2800000	10200000
190	2000000000		200000	600000	800000	1800000	2800000	2800000	10200000
191	2000000000		200000	600000	800000	1800000	2800000	2800000	19800000
192	2000000000		200000	600000	800000	1800000	2800000	2800000	19800000
193	2000000000		200000	600000	800000	1800000	2800000	2800000	19800000
194	2000000000		200000	600000	800000	1800000	2800000	2800000	19800000
195	2000000000		200000	600000	800000	1800000	2800000	2800000	19800000
196	2000000000		200000	600000	800000	1800000	2800000	2800000	39800000
197	2000000000		200000	600000	800000	1800000	2800000	2800000	39800000
198	2000000000		200000	600000	800000	1800000	2800000	2800000	39800000
199	2000000000		800000	1800000	1800000	1800000	5800000	39800000	39800000
200	2000000000		800000	1800000	1800000	3800000	5800000	39800000	39800000
