TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
B¾T_§ÇU_ID (NÕu c¸c ID kh«ng liªn tôc, h·y ®Ó trèng)	KÕT_THóC_ID	T£N_NHIÖM_Vô	SYNC_FLAG: 0 - Kh«ng ®ång bé, 1 - §ång bé lªn m¸y kh¸ch	CLIENT_FLAG: 0 - Kh«ng thÓ; 1 - M¸y kh¸ch cã thÓ quyÕt ®Şnh	NHIÖM_Vô_MI£U_T¶
1		NhiÖm vô M«n ph¸i Nga My:			NhiÖm vô nhËp m«n,nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
2		NhiÖm vô M«n ph¸i §­êng M«n: 			NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
3		NhiÖm vô M«n ph¸i Thiªn V­¬ng B¶ng:			 NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
4		NhiÖm vô M«n ph¸i Thiªn NhÉn Gi¸o: 			NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
5					NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
6					NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
7					NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
8					NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
9					NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
10		NhiÖm vô M«n ph¸i Ngò §éc Gi¸o:			 NhiÖm vô nhËp m«n, nhiÖm vô m«n ph¸i vµ nhiÖm vô ra m«n
11		NhiÖm vô ThÕ giíi: S¨n Lîn rõng t¹i Thµnh §«			
12		NhiÖm vô ThÕ giíi: Göi Th­			
13		NhiÖm vô §iÓm kü n¨ng §Æt l¹i			
14		NhiÖm vô con biÕn sè cÊp 40 cña Thiªn V­¬ng B¶ng			
15		NhiÖm vô ThÕ giíi: S¨n KhØ v­în t¹i ThÇn N«ng Gi¸			
16		NhiÖm vô Kü n¨ng "C­íp giµu gióp nghÌo"			
17		NhiÖm vô con biÕn sè trong nhiÖm vô ra m«n cÊp 50 cña Thiªn NhÉn Gi¸o			
18		NhiÖm vô míi: Lµng Long QuyÒn: Cha sau cña ta tèt kh«ng?			
19		NhiÖm vô míi: Lµng Long QuyÒn: Söa Dao			
20		NhiÖm vô míi: Lµng Long QuyÒn: Linh Chi Tr¾ng TuyÕt			
21		NhiÖm vô con biÕn sè cÊp 50 cña Thiªn NhÉn Gi¸o			
22		NhiÖm vô míi: Th¹ch Cæ TrÊn: Giao c¬m			
23		NhiÖm vô míi: Th¹ch Cæ TrÊn: Tr¶ tiÒn			
24		NhiÖm vô míi: Th¹ch Cæ TrÊn: T×m nhÉn			
25		NhiÖm vô míi: Long M«n TrÊn: Giíi thiÖu c«ng viÖc			
26		NhiÖm vô míi: Long M«n TrÊn: TruyÒn tin			
27		NhiÖm vô míi: Long M«n TrÊn: Canh TuyÕt Tr¾ng Xu©n			
28		NhiÖm vô con biÕn sè trong nhiÖm vô ra m«n cña Thiªn NhÉn Gi¸o			
29		NhiÖm vô con biÕn sè cÊp 40 cña M«n ph¸i Nga My			
30		(Thiªn NhÉn, §¹i Bµng Gia §Ö tö)			
31		(V« §­êng, C«n Lu©n Gia §Ö tö)			
32		NhiÖm vô míi: LuyÖn khinh c«ng ë Lµng Giao C©n			
33		NhiÖm vô Danh tiÕng qua thêi gian trùc tuyÕn cña Yªu Tö			
34		NhiÖm vô Yªu Tö tÆng Ngäc Th¹ch			
35		NhiÖm vô Kh«i phôc Danh tiÕng cña Yªu Tö			
36		(Nga My, Thñy Yªn Gia §Ö tö)			
37		(§­êng M«n, Ngò §éc Gia §Ö tö)			
38		(Thiªn V­¬ng, ThiÕu L©m Gia §Ö tö)			
39		NhiÖm vô Ph­¬ng h­íng Vò trô			
40		NhiÖm vô Ph­¬ng h­íng Vò trô			
41		NhiÖm vô Gi¶i cøu TiÓu Quan			
42		NhiÖm vô TrÎ em mÊt tİch			
43		NhiÖm vô Tiªu diÖt trém hoa			
