TaskID	MapID	TaskInfo1	Num	MapType	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20
90000	0995	9x-TuyÕt B¸o ®éng 1	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90001	0996	4x-MËt thÊt ThiÕu L©m	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90002	0997	2x-Ngù Hoa viªn	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90003	0998	3x-Thiªn Long Tù 	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90004	0999	5x-DiÔn Vâ tr­êng 1	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90005	1000	9x-BÕn thuyÒn 1	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90006	1001	10x-Th¸ch thøc thêi gian	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90007	1002	10x-Tr­êng Ca M«n cÊm ®Þa	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90008	1003	8x-¸c Lang Cèc 1	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90009	1004	6x-An Kú Liªn §¬n §éng 1	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90010	1005	7x-NguyÖt Ca MËt Cèc 1	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90011	1006	9x-Cöu Ch©u Cèc 1	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90012	1008	MU - VIP 1	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90013	1009	MU - VIP 2	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90014	1010	MU - VIP 3	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90015	1011	MU - VIP 4	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90016	1012	MU - VIP 5	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90017	1013	MU - VIP 6	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
