Id	BossName	BossInfo	BossPosition
1	Tr¸c L·nh CÇm	"trong Phôc L­u ®éng (193,184) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	73:1544:2944
2	Tiªu Thiªn Ng¹o	"trong Phôc L­u ®éng (177,189) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	73:1416:3024
3	Môc Minh KiÖt	"trong Phôc L­u ®éng (205,193) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	73:1640:3088
4	TÊt V­u Phãng	"trong Phôc L­u ®éng (217,190) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	73:1736:3040
5	Lôc Cöu U	"trong KiÕm C¸c Trung Nguyªn (200,189) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	43:1600:3024
6	Bé Hiªu TrÇn	"trong KiÕm C¸c Trung Nguyªn (214,196) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	43:1712:3136
7	Cèc KiÕm Thu	"trong KiÕm C¸c Trung Nguyªn (225,191) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	43:1800:3056
8	ThiÖu Hoa Dung	"trong KiÕm C¸c Trung Nguyªn (223,171) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	43:1784:2736
9	Quan Tö M¹c	"Trong B¹ch Thñy ®éng (210,196) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	71:1680:3136
10	Bµnh ThÝch H¶i	"trong B¹ch Thñy ®éng (200,192) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	71:1600:3072
11	BÝch Phï B×nh	"trong B¹ch Thñy ®éng (197,199) .. Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	71:1576:3184
12	Tr­îng L·nh s¬n 	"trong B¹ch Thñy ®éng (199,205) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	71:1592:3280
13	Tiªu KiÕm TuyÕt	"trong Háa Lang ®éng (189,192) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	83:1512:3072
14	Kha ThiÕu Gia	"trong Háa Lang ®éng (195,180) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	83:1560:2880
15	Ch­ëng B¸t Ph­¬ng	"trong Háa Lang ®éng (215,189) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	83:1720:3024
16	Méng Êt  Phi	"trong Háa Lang ®éng (212,199) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	83:1696:3184
17	T­ §å TuyÖt Chñy	"trong M·nh Hæ ®éng (224,220) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	14:1792:3520
18	Th­îng Quan L·ng	"trong M·nh Hæ ®éng (214,207) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	14:1712:3312
19	D­¬ng Thanh Èn	"trong M·nh Hæ ®éng (203,196) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	14:1624:3136
20	Ngôy Chiªm Th©n	"trong M·nh Hæ ®éng (213,200) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	14:1704:3200
21	§µo §o¹t Thu	"trong Kim Quang ®éng (197,187) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	4:1576:2992
22	Xµ B¸ §«ng 	"trong Kim Quang ®éng (219,203) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	4:1752:3248
23	L­¬ng T­ Nam 	"trong Kim Quang ®éng (218,185) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	4:1744:2960
24	Tr¸c ThÊt Lang	"trong Kim Quang ®éng (192,180) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	4:1536:2880
25	KiÒu §Ønh Thiªn	"trong B¹ch V©n ®éng (215,199) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	22:1720:3184
26	Träng V« CÊp 	"trong B¹ch V©n ®éng (223,190) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	22:1784:3040
27	KhÝ CÇm SÜ 	"trong B¹ch V©n ®éng (236,200) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	22:1888:3200
28	§inh V¨n Dôc	"trong B¹ch V©n ®éng (215,209) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	22:1720:3344
29	Phong Ngò Ên	"trong YÕn Tö ®éng (171,219) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	77:1368:3504
30	Khang  BÊt Hèi	"trong YÕn Tö ®éng (180,209) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	77:1440:3344
31	Ph­¬ng Dùc Viªm	"trong YÕn Tö ®éng (206,204) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	77:1648:3264
32	Ninh T©m Cuång	"trong YÕn Tö ®éng (202,220) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	77:1616:3520
33	H×nh Phô Sinh	"trong tÇng 1 D­îc V­¬ng ®éng (196,204) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	141:1568:3264
34	Ho¾c TrÊn Phi	"trong tÇng 1 D­îc V­¬ng ®éng (194,201) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	141:1552:3216
35	Qu¶n V« YÕm	"trong tÇng 1 D­îc V­¬ng ®éng (207,204) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!"	141:1656:3264
