Name	TransLife	CurrentLevel	CurrentExp	CurrentExpPercent
SsSsSsSs	5	150	7e-09	0
1ÙThêiÙëÙChuång	5	158	5.908513857	15
Ng¹oÙTuyÕt	5	166	6.127311088	9
§¹iÙMüÙNh©n	4	150	0.000456214	0
TháCon1	5	150	6.839017215	26
CïiÙX×ÙB¾pÙII	4	189	51.427807168	89
KiÕm§åMaxx422	5	150	0	0
KiÕm§åMaxx385	5	150	0	0
432e32	5	150	0	0
TieuQuyTu	5	150	1.000312419	3
NSNDÙ5DC	5	183	4.002914673	9
NMÙNhµnÙ5ÙTñi	5	167	38.06860767	59
qwfasgqw	5	160	30.000013635	52
123312312332	5	150	0	0
KiÕm§åMaxx379	5	150	0	0
gfhfghz	5	150	0	0
KiÕm§åMaxx377	5	150	0	0
KiÕm§åMaxx378	5	150	0	0
KiÕm§åMaxx375	5	150	0	0
KiÕm§åMaxx376	5	150	0	0
KiÕm§åMaxx384	5	150	0	0
KiÕm§åMaxx383	5	150	0	0
KiÕm§åMaxx382	5	150	0	0
KiÕm§åMaxx381	5	150	0	0
KiÕm§åMaxx380	5	150	0	0
j656u65u6	5	150	0	0
hghghghghghghghg	5	150	0	0
454545243	5	150	0	0
conchim	5	150	0	0
NamÙTõÙBß	5	150	2.70000358	10
ssssssss3333	5	150	0	0
ÙÙLanhÙÙ	5	165	63.049049932	98
•GµÄM¸i•ÙII	5	162	32.874552846	57
KiÕm§åMaxx442	5	150	0	0
KiÕm§åMaxx443	5	150	0	0
hjkhkjhk	5	150	0	0
KiÕm§åMaxx441	5	150	0	0
zZzThanhLongzZz	5	150	0	0
KiÕm§åMaxx414	5	150	0	0
KiÕm§åMaxx417	5	150	0	0
KiÕm§åMaxx416	5	150	0	0
KiÕm§åMaxx419	5	150	0	0
KiÕm§åMaxx418	5	150	0	0
GoogleÙDrive	5	172	65.84257204399999	85
ffffffffff3	5	150	0	0
Xe00004	5	150	0	0
Xe00003	5	150	0	0
Xe00002	5	161	41.306	71
dfgghffhfg	5	150	0	0
BèL¸oÙTL	5	180	35.500000657	80
qeqeq21	5	150	0	0
qwqweqw123	5	150	0	0
34534534r3	5	150	0	0
XeÙÙVDQ	4	150	1.1e-08	0
I®åTèPTèp	5	172	64.410027762	83
KiÕm§åMaxx411	5	150	0	0
KiÕm§åMaxx410	5	150	0	0
KiÕm§åMaxx413	5	150	0	0
KiÕm§åMaxx412	5	150	0	0
KiÕm§åMaxx424	5	150	0	0
KiÕm§åMaxx425	5	150	0	0
KiÕm§åMaxx426	5	150	0	0
KiÕm§åMaxx427	5	150	0	0
KiÕm§åMaxx428	5	150	0	0
C¶mÙTö	4	150	0	0
fgjhjhgj	5	150	0	0
ngodocthanchuong	5	151	0.005708491	0
ThuyYenHoaSuI	5	150	8.001669223	25
FGHFFGHH	5	150	0	0
3365222s	5	150	0	0
Xo¸yÙLßiÙPhÌo	4	150	0	0
ghfghfgn	5	150	0	0
g45ggfd	5	150	0	0
THANGÙBONÙML	4	182	17.91	34
345353535555	5	150	0	0
KiÕm§åMaxx437	5	150	0	0
KiÕm§åMaxx436	5	150	0	0
KiÕm§åMaxx435	5	150	0	0
KiÕm§åMaxx434	5	150	0	0
NgaMiis	5	180	0	0
qweqweqwdfs	5	150	0	0
KiÕm§åMaxx439	5	150	0	0
47ÙV­¬ngÙBĞo	5	190	0	0
GHJGJGJJK	5	150	0	0
NgaÙMy2	5	158	14.029685525	43
fggrgrgr65	5	150	0	0
wgreshr	5	150	0	0
TaDinhPhong	5	188	25.656045311	22
fddfgvb	5	150	0	0
KiÕm§åMaxx432	5	150	0	0
KiÕm§åMaxx431	5	150	0	0
KiÕm§åMaxx430	5	150	0	0
KiÕm§åMaxx446	5	150	0	0
KiÕm§åMaxx447	5	150	0	0
KiÕm§åMaxx444	5	150	0	0
hukhkjk	5	150	0	0
zxczxca13	5	150	0	0
rrrrrrr	5	150	0	0
KiÕm§åMaxx448	5	150	0	0
KiÕm§åMaxx449	5	150	0	0
gfdggfdsgs	5	150	0	0
Asujkgg	5	150	0.00465275	0
qweq21313	5	150	0	0
khang1	4	150	0.041574096	0
khang2	4	150	0.04157405	0
khang3	4	150	0.041574887	0
khang4	4	150	0.04156409	0
KiÕm§åMaxx401	5	150	0	0
rtertvdfgf	5	150	0	0
KiÕm§åMaxx400	5	150	0	0
NMÙVIP	5	180	0.223400011	0
BinhÙGoodlÙ	4	150	1.0465e-05	0
23asdwe23ws	5	150	0	0
HJGHJGJGHJ	5	150	0	0
uyjkutikti	5	150	0	0
4455455	5	150	0	0
r656fgf34	5	150	0	0
htdfghgfhgfh5445	4	150	0	0
dsfgfdg	5	150	0	0
VoDangJx	5	150	0	0
VinhÙSeeÙCL	5	180	0	0
ChñTr¹iHeo	4	153	8.518651478000001	66
AuDuongPhong	5	180	0	0
§­êngLong	5	180	1e-09	0
Ng¹cNhiªnCh­a	5	151	9.607840492999999	37
